food,Caloric_Value,Fat,Carbohydrates,Sugars,Protein,Dietary_Fiber,Cholesterol,Iron
flounder raw,114,3.1,0,0,20.2,0,73.4,0.3
spot cooked,79,3.1,0,0,11.9,0,38.5,0.2
walleye pike cooked,148,1.9,0,0,30.4,0,136.4,2.1
perch raw,55,0.6,0,0,11.6,0,54,0.5
pumpkin seed sunfish raw,43,0.3,0,0,9.3,0,32.2,0.6
salt mackerel,415,34.1,0,0,25.2,0,129.2,1.9
mackerel cooked,231,15.7,0,0,21,0,66,1.4
tilapia cooked,111,2.3,0,0,22.8,0,49.6,0.6
drum raw,236,9.8,0,0,34.7,0,126.7,1.8
atlantic croaker fried,192,11,6.6,0,15.8,0.3,73.1,0.7
pumpkin seed sunfish cooked,42,0.3,0,0,9.2,0,31.8,0.6
wolffish raw,294,7.3,0,0,53.6,0,140.8,0.3
bluefin tuna cooked,276,9.4,0,0,44.9,0,73.5,2
scup cooked,68,1.8,0,0,12.1,0,33.5,0.3
herring cooked,290,16.6,0,0,32.9,0,110.1,2
bluefish raw,186,6.4,0,0,30.1,0,88.5,0.7
sheepshead cooked,234,3,0,0,48.4,0,119,1.2
bass cooked,91,2.9,0,0,15,0,53.9,1.2
pout cooked,279,3.2,0,0,58.4,0,183.6,1
chinook salmon raw,709,41.3,0,0,78.9,0,198,1
rockfish raw,172,2.6,0,0,35.1,0,95.5,0.6
tilefish raw,371,8.9,0,0,67.6,0,193,1
scup raw,174,4.5,0,0,31.3,0,86.3,0.9
sablefish cooked,755,59.3,0,0,51.9,0,190.3,5
tuna salad,383,19,19.3,0,32.9,0,26.7,2.1
coho salmon cooked,255,11.8,0,0,34.7,0,90.1,0.6
roe raw,20,0.9,0.2,0,3.1,0,52.4,0.085
sea bass raw,125,2.6,0,0,23.8,0,52.9,0.4
pink salmon cooked,349,12,0,0,56,0,125.4,0.2
sockeye salmon cooked,493,17.3,0,0,82.1,0,189.1,0.2
whitefish raw,265,11.6,0,0,37.8,0,118.8,0.7
greenland halibut cooked,760,56.4,0,0,58.6,0,187.6,2.7
northern pike cooked,350,2.7,0,0,76.5,0,155,2.2
salmon raw,824,53.1,0,0,80.9,0,217.8,1.3
turbot cooked,388,12,0,0,65.4,0,197.2,1.5
surimi,28,0.3,1.9,0,4.3,0,8.5,0.057
chinook salmon cooked,711,41.2,0,0,79.2,0,261.8,2.8
mullet cooked,140,4.5,0,0,23.1,0,58.6,1.3
chum salmon raw,3,0.1,0,0,0.6,0,2.1,0.038
butterfish raw,47,2.6,0,0,5.5,0,20.8,0.2
sea bass cooked,125,2.6,0,0,23.9,0,53.5,0.4
greenland halibut raw,759,56.5,0,0,58.6,0,187.7,2.7
halibut raw,371,5.4,0,0,75.7,0,199.9,0.7
sturgeon cooked,184,7,0,0,28.2,0,104.7,1.2
fish fillet fried,211,11.2,15.4,0,13.3,0.5,30.9,1.9
rainbow trout raw,111,4.9,0,0,15.8,0,46.6,0.2
pout raw,278,3.2,0,0,58.6,0,183,1
rainbow smelt cooked,35,0.9,0,0,6.4,0,25.5,0.3
monkfish raw,22,0.4,0,0,4.1,0,7.1,0.059
trout raw,117,5.2,0,0,16.4,0,45.8,1.2
shark raw,37,1.3,0,0,5.9,0,14.4,0.2
burbot raw,104,0.9,0,0,22.4,0,69.6,1
dolphinfish cooked,173,1.4,0,0,37.7,0,149.5,2.3
crayfish cooked,25,0.4,0,0,5,0,38.8,0.3
dolphinfish raw,173,1.4,0,0,37.7,0,148.9,2.3
perch cooked,54,0.5,0,0,11.4,0,52.9,0.5
cusk raw,106,0.8,0,0,23.2,0,50,1
bluefin tuna raw,41,1.4,0,0,6.6,0,10.8,0.3
milkfish cooked,54,2.4,0,0,7.4,0,19,0.1
carp raw,277,12.2,0,0,38.9,0,143.9,2.7
sturgeon raw,30,1.1,0,0,4.6,0,17,0.2
orange roughy raw,22,0.2,0,0,4.6,0,17,0.3
catfish fried,199,11.6,7,0,15.7,0.6,61.8,1.2
cuttlefish raw,22,0.2,0.2,0,4.6,0,31.7,1.7
bass raw,90,2.9,0,0,14.9,0,53.7,1.2
flounder cooked,109,3,0,0,19.4,0,71.1,0.099
milkfish raw,42,1.9,0,0,5.8,0,14.7,0.057
eel raw,375,23.8,0,0,37.6,0,257,1
catfish raw,189,9.4,0,0,24.2,0,87.5,0.4
fish sticks,78,4.5,6.1,0.5,3.1,0.4,7.8,0.3
coho salmon raw,254,12.2,0,0,33.8,0,81.1,0.5
monkfish cooked,27,0.6,0,0,5.3,0,9.1,0.1
yellowtail cooked,546,19.6,0,0,86.6,0,207.3,1.8
yellowfin tuna cooked,37,0.2,0,0,8.2,0,13.3,0.3
ling cooked,168,1.2,0,0,36.8,0,77,1.3
eel cooked,67,4.2,0,0,6.7,0,45.6,0.2
sablefish raw,753,59.1,0,0,51.8,0,189.1,4.9
salmon nuggets,60,3.3,4,0,3.6,0,7.4,0.4
yellowtail raw,546,19.6,0,0,86.5,0,205.7,1.8
butterfish cooked,47,2.6,0,0,5.5,0,20.8,0.2
caviar,42,2.9,0.6,0,3.9,0,94.1,1.9
pollock raw,355,3.8,0,0,75,0,274.1,1.8
catfish cooked,206,10.3,0,0,26.4,0,94.4,0.098
whiting raw,83,1.2,0,0,16.8,0,61.6,0.3
pink salmon raw,404,14,0,0,65.2,0,146.3,1.2
yellowfin tuna raw,31,0.1,0,0,6.9,0,11,0.2
mackerel raw,230,15.6,0,0,20.8,0,78.4,1.8
turbot raw,388,12,0,0,65.5,0,195.8,1.5
cusk cooked,106,0.8,0,0,23.1,0,50.4,1
atlantic croaker raw,82,2.5,0,0,14,0,48.2,0.3
sucker cooked,148,3.7,0,0,26.6,0,65.7,2.1
spot raw,79,3.1,0,0,11.8,0,38.4,0.2
drum cooked,236,9.7,0,0,34.6,0,126.3,1.8
crayfish raw,3,0.048,0,0,0.6,0,4.3,0.053
tilefish cooked,441,14.1,0,0,73.5,0,192,0.9
bluefish cooked,186,6.4,0,0,30.1,0,88.9,0.7
grouper cooked,238,2.6,0,0,50.2,0,94.9,2.3
sheepshead raw,257,5.7,0,0,48.1,0,119,1.1
herring kippered,87,4.9,0,0,9.8,0,32.8,0.6
grouper raw,238,2.6,0,0,50.2,0,95.8,2.3
ocean perch cooked,48,0.9,0,0,9.3,0,31.5,0.073
ling raw,168,1.2,0,0,36.7,0,77.2,1.3
lingcod cooked,329,4.1,0,0,68.4,0,202.3,1.2
florida pompano raw,184,10.6,0,0,20.7,0,56,0.7
rockfish cooked,162,2.4,0,0,33.1,0,90.9,0.046
seatrout cooked,247,8.6,0,0,39.9,0,197.2,0.7
sockeye salmon raw,562,22.2,0,0,84.4,0,209.9,1.7
swordfish cooked,182,8.4,0,0,24.9,0,82.7,0.045
american shad raw,362,25.3,0,0,31.2,0,138,1.8
sardine canned in oil,310,17.1,0,0,36.7,0,211.6,4.4
anchovy canned in oil,8,0.4,0,0,1.2,0,3.4,0.2
salmon canned,520,20.3,0,0,79.1,0,143.9,2.6
sardines in tomato sauce canned,165,9.3,0.5,0.4,18.6,0.009,54.3,2
sockeye salmon canned,563,24.9,0,0,79.5,0,266.2,2.2
tuna canned,102,2.4,0,0,18.9,0,33.6,0.8
pink salmon canned,530,20.4,0,0,80.9,0,226.1,2.6
cod canned,328,2.7,0,0,71,0,171.6,1.5
eastern oyster canned,110,4,6.3,0,11.4,0,89.1,10.9
chum salmon canned,520,20.3,0,0,79.1,0,143.9,2.6
tuna canned in oil,331,14.4,0,0,47.2,0,55.2,1.2
wild pink salmon oceans,320,16,0,0,0,0,0,0
shrimp canned,128,1.7,0,0,26.1,0,322.6,2.7
alaska king crab raw,144,1,0,0,31.5,0,72.2,1
scallops fried,64,3.2,6.4,0,2.6,0,18,0.3
shrimp cooked,7,0.092,0.013,0,1.3,0,11.6,0.009
clams fried,19,1,1,0,1.3,0,5.7,1.3
alaska king crab cooked,130,2.1,0,0,25.9,0,71,1
scallops cooked,11,0.058,0.5,0,2.1,0,4.1,0.057
squid fried,140,6,6.2,0,14.4,0,208,0.8
oyster raw,41,1.2,2.5,0,4.7,0,25,2.6
abalone,89,0.6,5.1,0,14.5,0,72.3,2.7
queen crab raw,25,0.3,0,0,5.2,0,15.6,0.7
whelk cooked,78,0.2,4.4,0,13.5,0,36.8,2.8
oyster cooked,41,1.2,2.5,0,4.7,0,25,2.3
eastern oyster cooked,8,0.2,0.7,0,0.7,0,3.7,0.8
blue mussels cooked,344,9,14.8,0,47.6,0,112,13.4
octopus raw,23,0.3,0.6,0,4.2,0,13.6,1.5
spiny lobster cooked,233,3.2,5.1,0,43,0,146.7,2.3
blue mussels raw,129,3.4,5.5,0,17.9,0,42,5.9
queen crab cooked,98,1.3,0,0,20.2,0,60.4,2.4
dungeness crab cooked,140,1.6,1.2,0,28.3,0,96.5,0.5
dungeness crab raw,140,1.6,1.2,0,28.4,0,96.2,0.6
shrimp fried,52,3.2,4.8,0.086,1.3,0.1,9.9,0.1
shrimp raw,4,0.023,0.041,0,0.7,0,6.3,0.072
blue crab cooked,71,0.6,0,0,15.2,0,82.5,0.7
shrimp imitation,29,0.4,2.6,0,3.5,0,10.2,0.2
conch baked,165,1.5,2.2,0,33.4,0,82.6,1.8
squid raw,26,0.4,0.9,0,4.4,0,65.9,0.2
scallop raw,10,0.091,0.5,0,1.8,0,3.6,0.068
lobster raw,116,1.1,0,0,24.8,0,190.5,0.4
scallop imitation,28,0.1,3,0,3.6,0,6.2,0.058
blue crab raw,18,0.2,0.018,0,3.8,0,16.4,0.2
whelk raw,39,0.1,2.2,0,6.7,0,18.4,1.4
spiny lobster raw,234,3.2,5.1,0,43.1,0,146.3,2.5
clams canned,227,2.5,9.4,0,38.8,0,80,4.3
lobster cooked,134,1.3,0,0,28.5,0,219,2.3
eastern oyster fried,29,1.8,1.7,0,1.3,0,10.4,1
clams raw,195,2.2,8.1,0,33.3,0,68.1,3.7
octopus cooked,139,1.8,3.7,0,25.3,0,81.6,8.1
eastern oyster raw,8,0.2,0.8,0,0.7,0,3.5,0.8
oyster fried,61,3,6.7,0,2.1,0,18.1,0.7
sturgeon smoked,49,1.2,0,0,8.8,0,22.6,0.3
chinook salmon smoked,159,5.9,0,0,24.9,0,31.3,1.2
cisco smoked,50,3.4,0,0,4.6,0,9.1,0.1
haddock smoked,33,0.3,0,0,7.1,0,21.8,0.4
whitefish smoked,147,1.3,0,0,31.8,0,44.9,0.7
red salmon sockeye filets smoked,373,12.3,0,0,65.5,0,167.4,1.1
eggnog,224,10.6,20.4,20.4,11.6,0,149.9,0.5
beer light,96,0,5.4,0.3,0.8,0,0,0.014
beer budweiser,12,0,0.9,0,0.1,0,0,0
weizenbier erdinger,220,18,0,0,0,0,0,0
beer light budweiser,9,0,0.4,0,0.066,0,0,0
beer,142,0,11.7,0,1.5,0,0,0.031
root beer,202,0,52.3,52.3,0,0,0,0.037
whiskey sour mix,26,0.072,6.3,6.3,0.051,0,0,0.047
whiskey sour,158,0,13.9,0,0,0,0,0.047
tequila sunrise,232,0.2,23.8,0,0.6,0,0,0.038
daiquiri,112,0.036,4.2,3.3,0.035,0.001,0,0.033
pina colada,245,2.7,32,31.5,0.6,0.4,0,0.1
whiskey,58,0,0.1,0.078,0,0,0,0.072
rum,49,0,0,0,0,0,0,0.045
vodka smirnoff,13,0.4,2,0.082,0,0,0,0
coffee liqueur,96,0.038,13.8,13.7,0.041,0,0,0.02
gin,53,0,0,0,0,0,0,0
dessert wine sweet,165,0,14.1,8,0.2,0,0,0.2
chenin blanc white wine,118,0,4.9,0,0.1,0,0,0
gamay red wine,115,0,3.5,0,0.1,14.4,0,0
late harvest white wine,172,0,20.6,0,0.1,13.1,0,0
gewurztraminer white wine,119,0,3.8,0,0.1,0,0,0
burgundy red wine,172,0,7.4,0,0.1,0,0,0
zinfandel red wine,129,0,4.2,0,0.1,0,0,0
muller thurgau white wine,112,0,5.2,0,0.1,13.3,0,0
mouvedre red wine,129,0,3.9,0,0.1,16.5,0,0
table wine,123,0,4,1.2,0.1,0,0,0.5
wine light,73,0,1.7,1.7,0.1,0,0,0.6
white wine,121,0,3.8,1.4,0.1,0,0,0.4
petite sirah red wine,125,0,3.9,0,0.1,15.7,0,0
non alcoholic wine,2,0,0.3,0.3,0.1,0,0,0.1
pinot noir red wine,121,0,3.4,0,0.1,0,0,0
pinot gris grigio white wine,122,0,3,0,0.1,0,0,0
riesling white wine,118,0,5.5,0,0.1,0,0,0
barbera red wine,170,0,5.6,0,0.1,0,0,0
lemberger red wine,118,0,3.6,0,0.1,15,0,0
merlot red wine,122,0,3.7,0.9,0.1,0,0,0.7
sangiovese red wine,126,0,3.9,0,0.1,0,0,0
sauvignon blanc white wine,119,0,3,0,0.1,0,0,0
syrah red wine,122,0,3.8,0,0.1,0,0,0
carignane red wine,370,0,12,0,0.4,0,0,0
pinot blanc white wine,119,0,2.9,0,0.1,0,0,0
semillon white wine,121,0,4.6,0,0.1,14.9,0,0
dessert wine dry,760,0,58.4,5.5,1,76.5,0,0.2
red wine,125,0,3.8,0.9,0.1,0,0,0.7
cabernet sauvignon red wine,166,0,5.2,0,0.1,0,0,0
muscat white wine,123,0,7.8,0,0.1,0,0,0
cooking wine,2,0,0.3,0.09,0.028,0,0,0.1
chardonnay white wine,168,0,4.3,1.9,0.1,0,0,0.5
claret red wine,122,0,4.4,0,0.1,15,0,0
rice sake,197,0,7.4,0,0.7,0,0,0.1
fume blanc white wine,121,0,3.3,0,0.1,15.4,0,0
cabarnet franc red wine,122,0,3.6,0,0.1,0,0,0
chocolate frosting,81,3.6,13,11.8,0.2,0.2,0,0.3
white sugar,19,0,5,4.9,0,0,0,0.078
egg substitute,115,0,4.8,4.8,24,0,0,4.8
agave syrup,21,0.081,5.3,4.7,0.025,0.01,0,0.042
splenda sweetener,336,0,91.2,80.3,0,0,0,0
vanilla extract,12,0.069,0.5,0.5,0,0,0,0.019
egg yolk dried,27,2.3,0.054,0.002,1.3,0,92.3,0.4
granulated sugar,16,0,4.2,4.2,0,0,0,0.01
baking chocolate,145,15.2,8.7,0.3,3.7,4.8,0,5
bakers yeast,18,0.3,3.1,0,1.4,1.4,0,0.6
fondant,106,0.009,26.4,25.2,0,0,0,0.09
brown sugar,16,0,4.1,4.1,0.024,0,0,0.071
white frosting dry,768,0,196.4,0,4.8,0,0,0.2
maple sugar,42,0.061,10.9,10.2,0.036,0,0,0.2
fructose sweetener,15,0,4.2,3.9,0,0,0,0.067
saccharin sweetener,360,0,89.1,85.2,0.9,0,0,0.058
egg white raw,17,0.063,0.2,0.2,3.6,0,0,0.045
turbinado sugar,18,0,4.6,4.6,0,0,0,0.018
vanilla frosting,1931,75,313.7,291.5,0,0,0,0.7
aspartame sweetener,365,0,89.1,80.7,2.2,0,0,0.022
egg raw,80,5.3,0.4,0.2,7,0,208.3,1
pineapple topping,860,0.3,225.8,71.4,0.3,1.4,0,0.4
egg white dried,26,0.087,0.3,0,5.8,0,0,0.028
egg yolk raw,55,4.5,0.6,0.08,2.7,0,184.5,0.5
baking soda,0,0,0,0,0,0,0,0
egg dried,30,2.2,0.047,0.05,2.4,0,81.5,0.2
strawberry topping,53,0.096,13.9,5.7,0.014,0.1,0,0.014
bakers yeast dry,13,0.3,1.6,0,1.6,1.1,0,0.051
almond paste,1040,63,108.5,82.3,20.4,10.9,0,3.6
cream of tartar,8,0,1.8,0,0,0.01,0,0.1
popover dry mix,631,7.3,120.7,0,17.7,0,0,5
egg substitute powder,126,3.7,6.2,6.2,15.7,0,161.9,0.9
gelatin powder,17,0.086,0,0,4.3,0,0,0.099
tapioca pearls,544,0.093,134.8,5.1,0.3,1.4,0,2.4
baking powder,2,0,1.3,0,0,0.03,0,0.5
egg boiled,93,6.4,0.7,0.7,7.5,0,223.8,0.7
millet flour,444,5.1,86.9,2,12.8,4.2,0,4.7
triticale flour,439,2.4,95.1,0,17.1,19,0,3.4
corn flour white,414,4.2,87.3,1.8,9.6,7.3,0,1.7
rice flour brown,574,4.4,120.8,1.3,11.4,7.3,0,3.1
sorghum flour,437,4,93.7,2.3,9.5,8,0,3.6
cornmeal whole grain,442,4.4,93.8,0.8,9.9,8.9,0,4.2
cornmeal white,581,2.7,124.7,2.5,11.2,6.1,0,1.7
barley flour,511,2.4,110.3,1.2,15.5,14.9,0,4
safflower seed meal,97,0.7,13.8,0,10.1,0,0,1.4
sesame flour,658,46.4,33.3,0,38.5,0,0,19
whole grain wheat flour,408,3,86.4,0.5,15.9,12.8,0,4.3
corn flour yellow,422,4.5,89.9,0.7,8.1,8.5,0,2.8
corn flour whole grain,422,4.5,89.9,0.7,8.1,8.5,0,2.8
cottonseed flour low fat,94,0.4,10.2,0,14.1,0,0,3.6
sunflower seed flour,13,0.013,1.4,0,1.9,0.2,0,0.3
sesame meal,160,13.6,7.4,0,4.8,0,0,4.1
acorn flour,626,37.7,68.3,0,9.4,0,0,1.5
rice flour white,578,2.2,126.6,0.2,9.4,3.8,0,0.6
sesame flour low fat,94,0.5,10,0,14.2,0,0,4
potato flour,571,0.5,133,5.6,11,9.4,0,0.3
cornmeal yellow,581,2.7,124.7,2.5,11.2,6.1,0,1.7
rye flour,364,1.4,78.2,0.9,10,8.2,0,0.9
arrowroot flour,457,0.1,112.8,0,0.4,4.4,0,0.4
chickpea flour,356,6.2,53.2,10,20.6,9.9,0,4.5
wheat flour,455,1.2,95.4,0.3,12.9,3.4,0,5.8
cornstarch,488,0.03,116.8,0,0.3,1.2,0,0.6
carob flour,13,0.061,5.3,2.9,0.3,2.4,0,0.2
buckwheat flour,402,3.7,84.7,3.1,15.1,12,0,4.9
pecan pie,503,27.1,63.7,0,6,0,106.1,1.8
apple pie,331,15.6,46.4,0,3,0,0,1.4
vanilla wafer pie crust,935,63.7,88.4,12.9,6.5,0.2,68.6,2.9
chocolate pie crust,881,40.8,117.4,47.9,11.1,4.9,0,7.8
apple strudel,195,8,29.2,18.3,2.3,1.6,4.3,0.3
chocolate snack cake,200,8,30.2,18.9,1.8,1.6,0,1.8
fruit fried pie,404,20.6,54.5,27.4,3.8,3.3,0,1.6
pumpkin pie,316,14.4,40.9,0,7,0,65.1,2
corn cake,35,0.2,7.5,2.1,0.7,0.2,0,0.1
sponge snack cake,157,4.8,26.9,15.7,1.5,0.4,17.2,0.6
danish pastry with nuts,280,16.4,29.7,16.8,4.6,1.3,29.9,1.2
chocolate cream pie,301,19.2,33.3,0,2.6,2,5,1.1
angel food cake,72,0.2,16.2,0,1.7,0.4,0,0.1
lemon meringue pie,362,16.4,49.7,0,4.8,0,67.3,1.3
danish pastry with cinnamon,349,16.7,46.9,0,4.8,0,27.3,1.8
cinnamon coffeecake,238,13.3,26.6,0,3.9,1.1,18.2,1.1
cheesecake,257,18,20.4,17.4,4.4,0.3,44,0.5
fruitcake,139,3.9,26.5,11.8,1.2,1.6,2.2,0.9
egg custard,293,12.9,31,31,14.2,0,236.9,1
mince pie,477,17.8,79.2,46.7,4.3,4.3,0,2.5
yellow cake with chocolate frosting,546,25.6,79.7,56.5,4.6,2.2,23,2.9
danish pastry with fruit,335,15.9,45.1,0,4.8,0,18.8,1.4
white cake with coconut frosting,399,11.5,70.8,64.3,4.9,1.1,1.1,1.3
danish pastry with cheese,353,24.6,28.7,0,5.8,0,20,1.8
graham cracker pie crust,917,45.4,117.7,33.2,9.3,3.5,0,4.8
blueberry pie,360,17.5,49.2,0,4,0,0,1.8
yellow cake with vanilla frosting,239,9.3,37.6,0,2.2,0.2,35.2,0.7
pie crust,121,8,10.9,0.045,1.5,0.4,0,0.7
chocolate cake with chocolate frosting,537,27.7,72.9,55.1,4.8,3,30.4,4.2
cheese coffeecake,258,11.6,33.7,0,5.3,0.8,64.6,0.5
vanilla cream pie,350,18.1,41.1,16,6,0.8,78.1,1.3
pineapple cake,367,13.9,58.1,0,4,0.9,25.3,1.7
peach pie,262,11.7,38.5,19,2.2,0.9,0,0.6
fruit coffeecake,156,5.1,25.8,0,2.6,1.3,3.5,1.2
pound cake,116,6,14.6,0,1.7,0.2,66.3,0.4
pound cake bread,215,9.6,28.2,10,3.9,0.9,0,1.2
white cake,264,9.2,42.3,26.3,4,0.6,1.5,1.1
coffeecake with chocolate frosting,298,9.7,48.4,0,4.5,1.8,62.1,0.5
popcorn cake,38,0.3,8,0.001,1,0.3,0,0.2
banana cream pie,3190,161.3,390.2,143,52.2,8.3,604.9,12.3
baked apple pie mcdonalds,91,4.4,12.3,4.9,0.9,0.6,0,0.6
sponge cake,187,2.7,36.4,0,4.6,0,107.1,1
yellow cake,245,9.9,36,0,3.6,0.5,36.7,1.1
shortcake,98,4,13.7,0,1.7,0,0.8,0.7
cherry pie,486,22,69.3,0,5,0,0,3.3
dutch apple pie,397,15.8,61,30.2,3,2.2,0,1.2
chocolate cake,352,14.3,50.7,0,5,1.5,55.1,1.5
marshmallow,64,0.033,16.3,11.5,0.4,0.013,0,0.038
sugar apple,72,0.2,18.2,0,1.6,3.4,0,0.075
toffee,67,3.9,7.8,7.6,0.1,0,12.5,0.092
vanilla fudge with nuts,123,3.9,21.1,20.1,0.8,0.3,3.7,0.1
peanuts chocolate coated,21,1.3,2,1.5,0.5,0.2,0.4,0.037
caramel with nuts chocolate coated,66,2.9,8.5,5.8,1.3,0.6,0,0.2
gingerbread,263,12.1,36.4,0,2.9,0,23.7,2.1
rolo nestle,24,1,0.2,0.078,0.009,0,0,0
vanilla fudge,108,1.5,23.2,22.6,0.3,0,4.2,0.036
halavah,328,15.1,42.3,0,8.7,3.2,0,3.2
praline,189,10.1,23.2,21.8,1.3,1.4,0,0.5
fruit juice bar,67,0.089,15.6,13.5,0.9,0.8,0,0.1
peanut brittle,138,5.4,20.2,14.5,2.1,0.7,3.4,0.3
butterscotch,21,0.2,4.8,4.3,0.079,0,0.5,0.02
chocolate coffee beans,155,9.4,15.6,14.4,2.1,1.6,5.7,0.6
nougat with almonds,56,0.2,12.9,11.7,0.5,0.5,0,0.082
carob,135,7.8,14.1,8.5,2,1,0.3,0.011
peanut butter fudge,62,1.1,12.4,11.7,0.6,0.1,0.5,0.072
sugar coated almonds,17,0.6,2.4,2.2,0.4,0.013,0,0.061
chocolate coated marshmallow,118,4.7,19,12.5,1.1,0.6,0,0.7
raisins chocolate coated,390,14.8,68.4,62.2,4.1,3.1,3,1.7
chewing gum sugarless,5,0.013,1.9,0,0,0.078,0,0
chewing gum,11,0.032,2.9,2,0,0.012,0,0
chocolate syrup,109,0.4,25.4,19.4,0.8,1,0,0.8
chocolate fudge syrup,67,1.7,12,6.6,0.9,0.5,0.2,0.2
m ms milk chocolate mars,207,8.9,29.9,26.7,1.8,1.2,5.9,0.5
milk chocolate with almonds,216,14.1,21.9,18,3.7,2.5,7.8,0.7
chocolate fudge,70,1.8,13,12.4,0.4,0.3,2.4,0.3
milk chocolate with rice cereal,0,0,0,0,0,0,0,0
m ms peanut chocolate mars,93,4.7,10.9,9.1,1.7,0.7,1.4,0.2
dark chocolate,165,9.7,18,13.8,1.5,2.2,2.1,0.3
chocolate semisweet,806,50.4,107.4,91.6,7.1,9.9,0,5.3
after eight mints nestle,36,1,6.7,5.6,0.1,0.2,0,0.062
milk chocolate,37,2.1,4.2,3.6,0.5,0.2,1.6,0.2
white chocolate,162,9.6,17.8,17.7,1.8,0.081,6.3,0.025
chocolate,208,14,24.8,21.1,1.6,2.3,0,1.1
twix mars,146,7.2,18.8,14,1.4,0.3,2,0.042
kit kat nestle,62,3.3,7.6,6.5,0.7,0.2,1.1,0.059
snickers mars,280,13.6,35.1,28.8,4.3,1.3,7.4,0.2
milky way mars,264,10,41.3,34.6,2.3,0.6,5.2,0.047
clif bar,235,4,44.5,21.5,10,5,0,4.5
gum drops,18,0.042,4.4,3.5,0,0,0,0
skittles wild berry mars,249,2.6,56.3,47.1,0.1,0,0,0
skittles original mars,251,2.7,56.3,47,0.1,0,0,0
skittles tropical mars,251,2.7,56.3,47,0.1,0,0,0
fruit leather,52,0.4,12,6.9,0.029,0,0,0.1
taffy,60,0.5,13.7,10.3,0.087,0,1.4,0
eisbonbons mac iver,23,0,0,0,0,0,0,0
caramels,39,0.8,7.8,6.6,0.5,0,0.7,0.049
hard candy,24,0.067,5.9,3.8,0,0,0,0.038
jellybeans,4,0.043,1,0.8,0,0.083,0,0.029
jellies,56,0.069,14.7,10.8,0.005,0.2,0,0.084
wheat germ toasted,115,3.2,14.9,2.3,8.7,4.5,0,2.7
crispy brown rice,124,1.1,27.5,2.9,2.3,2.3,0,0.4
bran flakes asda,109,0.6,0.2,0,0,0,0,0
amaranth cooked,251,3.9,46,0,9.3,5.2,0,5.2
triticale,645,4,138.5,0,25.1,0,0,4.9
barley raw,42,0.1,9.3,0.094,1.2,1.9,0,0.3
bulgur dry,171,0.7,37.9,0.2,6.1,9.2,0,1.2
cottonseed kernels roasted,754,54.1,32.6,0,48.6,8.2,0,8
rice bran,373,24.6,58.6,1.1,15.8,24.8,0,21.9
chaptti roti indian bread,491,2.5,0.089,68.4,7,0,0,0
quinoa cooked,222,3.6,39.4,1.6,8.1,5.2,0,2.8
dar vida swiss original,116,3.1,0.5,0,0,0,0,0
teff cooked,255,1.6,50,0,9.8,7.1,0,5.2
couscous dry,650,1.1,134,0,22.1,8.7,0,1.9
weetabix weetabix,2078,11.5,0,0,0,0,0,0
oat bran cooked,88,1.9,25.1,0,7,5.7,0,1.9
buckwheat cooked,155,1,33.5,1.5,5.7,4.5,0,1.3
millet puffed,74,0.7,16.8,0.1,2.7,0.6,0,0.6
oat bran raw,23,0.5,4.9,0.1,1.3,1.2,0,40
popcorn oil popped,64,4.8,5,0.027,0.8,0.9,0,0.2
kamut cooked,251,1.6,52.4,0,11.1,6.7,0,3.5
wheat bran,125,2.5,37.4,0.2,9,24.8,0,6.1
cheese popcorn,58,3.7,5.7,0,1,1.1,1.2,0.2
raisin bran crunch kelloggs,90,0.5,21.2,9,1.9,0,0,0
couscous cooked,176,0.3,36.5,0.2,6,2.2,0,0.6
multigrain cheerios general mills,4,0.005,1,0.2,0.038,0.1,0.072,0
bulgur cooked,151,0.4,33.8,0.2,5.6,8.2,0,1.7
popcorn air popped,31,0.4,6.2,0.086,1,1.2,0,0.3
teff raw,708,4.6,141.1,3.6,25.7,15.4,0,14.7
spelt cooked,246,1.6,51.3,0,10.7,7.6,0,3.2
millet raw,756,8.4,145.7,0,22,17,0,6
popcorn unpopped,106,1.2,20.9,0.3,3.1,3.6,0,0.9
whole wheat cooked,150,1,33.2,0.2,4.8,3.9,0,1.5
wheat sprouted,214,1.4,45.9,0,8.1,1.2,0,2.3
whole wheat dry,96,0.6,21.1,0.1,3.1,2.7,0,0.9
caramel popcorn,122,3.6,22.4,15.1,1.1,1.5,1.4,0.5
wheat puffed,44,0.1,9.6,0,1.8,0.5,0,3.8
roggenmischbrot sonnenblumenkerne aldi,82,3.1,0,0,0,0,0,0
wheat germ,112,3,16.1,0,7.2,4.1,0,1.9
microwave popcorn,465,26.3,49.8,0.3,7.3,8.7,0,0.2
millet cooked,207,1.7,41.2,0.2,6.1,2.3,0,1.1
kamut raw,627,4.1,130.9,15.2,27.3,16.9,0,1
wheat durum,651,4.7,136.6,0,26.3,0,0,6.8
sorghum,651,6.3,143.3,0,21.7,12.1,0,8.4
white wheat,657,3.3,145.7,0.8,21.7,23.4,0,8.8
rye,571,2.8,128.2,1.7,17.5,25.5,0,4.4
spelt raw,588,4.2,122.1,11.9,25.4,18.6,0,7.7
buckwheat raw,41,0.4,8.6,0,1.6,1.2,0,0.3
honey cereali general mills,104,2,3,0,0,0,0,0
barley cooked,193,0.7,44.3,0.4,3.5,6,0,2.1
oats,39,0.7,6.6,0,1.7,1.1,0,0.5
amaranth raw,37,0.7,6.5,0.2,1.4,0.7,0,0.8
